filename;year;month;day;hour;minute;lng;lat;alt;camera;width;height;frames;fps;time;mean_brightness;class
M20251005_180718_MasLaRoca_W;2025.0;7.0;5.0;18.0;7.0;2.31;41.93;570.0;W;720.0;576.0;178.0;25.0;4.68;33.0;
M20251005_192957_MasLaRoca_W;2025.0;29.0;5.0;19.0;29.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;47.5;
M20251005_195400_MasLaRoca_W;2025.0;54.0;5.0;19.0;54.0;2.31;41.93;570.0;W;720.0;576.0;102.0;25.0;1.64;107.33333333333331;
M20251005_205956_MasLaRoca_W;2025.0;59.0;5.0;20.0;59.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;141.5;
M20251005_215210_MasLaRoca_W;2025.0;52.0;5.0;21.0;52.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;63.5;
M20251006_025430_MasLaRoca_W;2025.0;54.0;6.0;2.0;54.0;2.31;41.93;570.0;W;720.0;576.0;66.0;25.0;0.2;143.15384615384616;
M20251006_044830_MasLaRoca_W;2025.0;48.0;6.0;4.0;48.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;61.0;
M20251007_184707_MasLaRoca_W;2025.0;47.0;7.0;18.0;47.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;96.0;
M20251007_190614_MasLaRoca_W;2025.0;6.0;7.0;19.0;6.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;68.5;
M20251007_203528_MasLaRoca_W;2025.0;35.0;7.0;20.0;35.0;2.31;41.93;570.0;W;720.0;576.0;63.0;25.0;0.08;45.333333333333336;
M20251007_224016_MasLaRoca_W;2025.0;40.0;7.0;22.0;40.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;123.0;
M20251008_010233_MasLaRoca_W;2025.0;2.0;8.0;1.0;2.0;2.31;41.93;570.0;W;720.0;576.0;67.0;25.0;0.24;82.85714285714286;
M20251006_184931_MasLaRoca_W;2025.0;49.0;6.0;18.0;49.0;2.31;41.93;570.0;W;720.0;576.0;76.0;25.0;0.6;186.46666666666667;
M20251007_010341_MasLaRoca_W;2025.0;3.0;7.0;1.0;3.0;2.31;41.93;570.0;W;720.0;576.0;72.0;25.0;0.44;69.66666666666667;
M20251007_033951_MasLaRoca_W;2025.0;39.0;7.0;3.0;39.0;2.31;41.93;570.0;W;720.0;576.0;71.0;25.0;0.4;75.63636363636364;
M20251004_215045_MasLaRoca_W;2025.0;50.0;4.0;21.0;50.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;95.0;
M20251004_223718_MasLaRoca_W;2025.0;37.0;4.0;22.0;37.0;2.31;41.93;570.0;W;720.0;576.0;122.0;25.0;2.44;54.333333333333336;
M20251005_012339_MasLaRoca_W;2025.0;23.0;5.0;1.0;23.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;56.5;
M20251004_195800_MasLaRoca_W;2025.0;58.0;4.0;19.0;58.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;147.0;
M20251004_201941_MasLaRoca_W;2025.0;19.0;4.0;20.0;19.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;45.5;
M20251005_051514_MasLaRoca_W;2025.0;15.0;5.0;5.0;15.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;56.0;
M20251005_053720_MasLaRoca_W;2025.0;37.0;5.0;5.0;37.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;31.0;
M20251008_204037_MasLaRoca_W;2025.0;40.0;8.0;20.0;40.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;102.4;
M20251012_173542_MasLaRoca_W;2025.0;35.0;12.0;17.0;35.0;2.31;41.93;570.0;W;720.0;576.0;137.0;25.0;0.04;66.0;
M20251012_175509_MasLaRoca_W;2025.0;55.0;12.0;17.0;55.0;2.31;41.93;570.0;W;720.0;576.0;62.0;25.0;0.04;75.0;
M20251012_190853_MasLaRoca_W;2025.0;8.0;12.0;19.0;8.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;82.0;
M20251012_202555_MasLaRoca_W;2025.0;25.0;12.0;20.0;25.0;2.31;41.93;570.0;W;720.0;576.0;61.0;25.0;0.04;75.0;
M20251013_041731_MasLaRoca_W;2025.0;17.0;13.0;4.0;17.0;2.31;41.93;570.0;W;720.0;576.0;108.0;25.0;0.16;92.14285714285714;
M20251013_034318_MasLaRoca_W;2025.0;43.0;13.0;3.0;43.0;2.31;41.93;570.0;W;720.0;576.0;87.0;25.0;0.8;55.13333333333333;
M20251013_034334_MasLaRoca_W;2025.0;43.0;13.0;3.0;43.0;2.31;41.93;570.0;W;720.0;576.0;112.0;25.0;2.04;56.0;
