filename;year;month;day;hour;minute;lng;lat;alt;camera;width;height;frames;fps;time;mean_brightness;class
M20251004_190700_MasLaRoca_NE;2025.0;7.0;4.0;19.0;7.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;70.66666666666667;
M20251004_225201_MasLaRoca_NE;2025.0;52.0;4.0;22.0;52.0;2.19;41.56;570.0;NE;720.0;576.0;120.0;25.0;2.4;53.41379310344828;
M20251005_043858_MasLaRoca_NE;2025.0;38.0;5.0;4.0;38.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;47.5;
M20251005_053814_MasLaRoca_NE;2025.0;38.0;5.0;5.0;38.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.08;40.458333333333336;
M20251005_194436_MasLaRoca_NE;2025.0;44.0;5.0;19.0;44.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;38.5;
M20251005_195119_MasLaRoca_NE;2025.0;51.0;5.0;19.0;51.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;99.375;
M20251005_215057_MasLaRoca_NE;2025.0;50.0;5.0;21.0;50.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;82.66666666666667;
M20251005_233252_MasLaRoca_NE;2025.0;32.0;5.0;23.0;32.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;105.5;
M20251006_021428_MasLaRoca_NE;2025.0;14.0;6.0;2.0;14.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;118.5;
M20251006_031326_MasLaRoca_NE;2025.0;13.0;6.0;3.0;13.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;70.33333333333333;
M20251006_034149_MasLaRoca_NE;2025.0;41.0;6.0;3.0;41.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;58.0;
M20251006_045145_MasLaRoca_NE;2025.0;51.0;6.0;4.0;51.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;38.66666666666666;
M20251004_215808_MasLaRoca_NE;2025.0;58.0;4.0;21.0;58.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;53.142857142857146;
M20251005_181138_MasLaRoca_NE;2025.0;11.0;5.0;18.0;11.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;86.0;
