,filename,year,month,day,hour,minute,lng,lat,alt,camera,width,height,frames,fps,time,mean_brightness,class,datetime
0,M20251004_190700_MasLaRoca_NE,2025,7,4,19,7,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,70.66666666666667,,2025-07-04 19:07:00
1,M20251004_225201_MasLaRoca_NE,2025,52,4,22,52,2.19,41.56,570.0,NE,720.0,576.0,120.0,25.0,2.4,53.41379310344828,,
2,M20251005_043858_MasLaRoca_NE,2025,38,5,4,38,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,47.5,,
3,M20251005_053814_MasLaRoca_NE,2025,38,5,5,38,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.08,40.458333333333336,,
4,M20251005_194436_MasLaRoca_NE,2025,44,5,19,44,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,38.5,,
5,M20251005_195119_MasLaRoca_NE,2025,51,5,19,51,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,99.375,,
6,M20251005_215057_MasLaRoca_NE,2025,50,5,21,50,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,82.66666666666667,,
7,M20251005_233252_MasLaRoca_NE,2025,32,5,23,32,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,105.5,,
8,M20251006_021428_MasLaRoca_NE,2025,14,6,2,14,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,118.5,,
9,M20251006_031326_MasLaRoca_NE,2025,13,6,3,13,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,70.33333333333333,,
10,M20251006_034149_MasLaRoca_NE,2025,41,6,3,41,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,58.0,,
11,M20251006_045145_MasLaRoca_NE,2025,51,6,4,51,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,38.66666666666666,,
12,M20251004_215808_MasLaRoca_NE,2025,58,4,21,58,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,53.142857142857146,,
13,M20251005_181138_MasLaRoca_NE,2025,11,5,18,11,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,86.0,,2025-11-05 18:11:00
14,M20251005_182120_MasLaRoca_NE,2025,21,5,18,21,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,66.77777777777777,,
15,M20251005_183316_MasLaRoca_NE,2025,33,5,18,33,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,42.5,,
16,M20251005_185732_MasLaRoca_NE,2025,57,5,18,57,2.19,41.56,570.0,NE,720.0,576.0,68.0,25.0,0.28,57.75,,
17,M20251005_210932_MasLaRoca_NE,2025,9,5,21,9,2.19,41.56,570.0,NE,720.0,576.0,608.0,25.0,21.88,56.05,,2025-09-05 21:09:00
18,M20251005_211229_MasLaRoca_NE,2025,12,5,21,12,2.19,41.56,570.0,NE,720.0,576.0,471.0,25.0,16.4,164.66315789473686,,2025-12-05 21:12:00
19,M20251006_021719_MasLaRoca_NE,2025,17,6,2,17,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,71.5,,
20,M20251006_040324_MasLaRoca_NE,2025,3,6,4,3,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,52.333333333333336,,2025-03-06 04:03:00
21,M20251006_041646_MasLaRoca_NE,2025,16,6,4,16,2.19,41.56,570.0,NE,720.0,576.0,128.0,25.0,2.68,54.98333333333333,,
22,M20251004_221051_MasLaRoca_NE,2025,10,4,22,10,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,48.0,,2025-10-04 22:10:00
23,M20251005_041033_MasLaRoca_NE,2025,10,5,4,10,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,72.5,,2025-10-05 04:10:00
24,M20251005_185159_MasLaRoca_NE,2025,51,5,18,51,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.12,51.16666666666666,,
25,M20251005_193258_MasLaRoca_NE,2025,32,5,19,32,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,139.0,,
26,M20251005_224920_MasLaRoca_NE,2025,49,5,22,49,2.19,41.56,570.0,NE,720.0,576.0,201.0,25.0,5.6,96.91071428571428,,
27,M20251006_023129_MasLaRoca_NE,2025,31,6,2,31,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,114.0,,
28,M20251006_024539_MasLaRoca_NE,2025,45,6,2,45,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,43.0,,
29,M20251006_025430_MasLaRoca_NE,2025,54,6,2,54,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,96.44444444444444,,
30,M20251006_033310_MasLaRoca_NE,2025,33,6,3,33,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,104.0,,
31,M20251006_035634_MasLaRoca_NE,2025,56,6,3,56,2.19,41.56,570.0,NE,720.0,576.0,71.0,25.0,0.4,40.25,,
32,M20251004_182847_MasLaRoca_NE,2025,28,4,18,28,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,83.2,,
33,M20251004_183532_MasLaRoca_NE,2025,35,4,18,35,2.19,41.56,570.0,NE,720.0,576.0,110.0,25.0,1.96,103.0,,
34,M20251004_215647_MasLaRoca_NE,2025,56,4,21,56,2.19,41.56,570.0,NE,720.0,576.0,98.0,25.0,1.52,52.44444444444444,,
35,M20251005_045949_MasLaRoca_NE,2025,59,5,4,59,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,99.0,,
36,M20251005_175437_MasLaRoca_NE,2025,54,5,17,54,2.19,41.56,570.0,NE,720.0,576.0,71.0,25.0,0.4,23.58333333333333,,
37,M20251005_194452_MasLaRoca_NE,2025,44,5,19,44,2.19,41.56,570.0,NE,720.0,576.0,89.0,25.0,1.16,44.583333333333336,,
38,M20251005_195345_MasLaRoca_NE,2025,53,5,19,53,2.19,41.56,570.0,NE,720.0,576.0,82.0,25.0,0.84,77.0952380952381,,
39,M20251005_202418_MasLaRoca_NE,2025,24,5,20,24,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,152.5,,
40,M20251006_030112_MasLaRoca_NE,2025,1,6,3,1,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,91.66666666666669,,2025-01-06 03:01:00
41,M20251006_034017_MasLaRoca_NE,2025,40,6,3,40,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,48.0,,
42,M20251006_045021_MasLaRoca_NE,2025,50,6,4,50,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,43.0,,
43,M20251005_040306_MasLaRoca_NE,2025,3,5,4,3,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,84.5,,2025-03-05 04:03:00
44,M20251005_044633_MasLaRoca_NE,2025,46,5,4,46,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,47.5,,
45,M20251005_185800_MasLaRoca_NE,2025,58,5,18,58,2.19,41.56,570.0,NE,720.0,576.0,474.0,25.0,16.52,169.20238095238096,,
